1;arms_factory;938.00;12.35;959.00;2.24;0
1;arms_factory;899.00;10.38;1011.00;3.45;0
1;arms_factory;941.00;12.30;965.00;1.29;0
1;arms_factory;900.00;10.48;1004.00;2.85;0
1;arms_factory;935.00;12.30;944.00;5.51;0
1;arms_factory;902.00;10.50;1007.00;1.90;0
1;industrial_complex;933.00;12.68;964.00;6.02;0
1;industrial_complex;895.00;10.30;1010.00;6.12;0
1;industrial_complex;921.00;11.45;989.00;1.80;0
1;industrial_complex;925.00;11.32;994.00;6.03;0
1;air_base;936.00;12.40;959.00;2.41;0
1;supply_node;934.00;12.35;951.00;2.80;0
1;supply_node;933.00;12.40;976.00;5.74;0
1;supply_node;946.00;12.25;988.00;2.04;0
1;supply_node;903.00;10.50;1009.00;4.98;0
1;supply_node;923.00;10.95;996.00;1.63;0
1;supply_node;901.00;10.40;994.00;4.21;0
1;bunker;930.00;12.78;967.00;5.58;0
1;bunker;896.00;10.30;1008.00;1.96;0
1;bunker;943.00;12.15;991.00;4.98;0
1;bunker;910.00;10.75;997.00;6.19;0
1;bunker;941.00;12.30;966.00;4.03;0
1;bunker;914.00;10.85;996.00;0.41;0
1;bunker;937.00;12.20;950.00;1.97;0
1;anti_air_building;898.00;10.38;991.00;4.63;0
1;anti_air_building;939.00;12.30;971.00;2.47;0
1;anti_air_building;904.00;10.60;994.00;5.14;0
1;synthetic_refinery;936.00;12.00;985.00;0.41;0
1;fuel_silo;893.00;10.00;998.00;4.54;0
1;nuclear_reactor;948.00;12.23;989.00;5.14;0
